"filename", "language", "XML", "Dart", "JSON", "comment", "blank", "total"
"d:\TY Project\MyGate\assets\71229-not-found.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\TY Project\MyGate\assets\Parking.svg", "XML", 1, 0, 0, 0, 0, 1
"d:\TY Project\MyGate\lib\screens\Parcel\DeliveryList.dart", "Dart", 0, 23, 0, 3, 0, 26
"d:\TY Project\MyGate\lib\screens\Parcel\deliveryCreation.dart", "Dart", 0, 17, 0, 0, 0, 17
"d:\TY Project\MyGate\lib\screens\Parking\check_allottement.dart", "Dart", 0, 182, 0, 10, 10, 202
"d:\TY Project\MyGate\lib\screens\Parking\parking_screen.dart", "Dart", 0, 99, 0, 10, 14, 123
"d:\TY Project\MyGate\lib\screens\Parking\request_allottment.dart", "Dart", 0, 409, 0, 1, 14, 424
"d:\TY Project\MyGate\lib\screens\homescreen\home_screen.dart", "Dart", 0, 13, 0, 0, 4, 17
"d:\TY Project\MyGate\lib\screens\payments\Finechecker.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\TY Project\MyGate\lib\screens\payments\paymentCreation.dart", "Dart", 0, -10, 0, 0, -1, -11
"Total", "-", 1, 732, 1, 24, 41, 799
